Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
AFG,2,Afghanistan,2633,Cocoa Beans and products,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2635,Tea (including mate),5142,Food,1000 tonnes,33.94,67.71,4,6,5,6,5,11,7,12,15,12
AFG,2,Afghanistan,2640,Pepper,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2645,"Spices, Other",5142,Food,1000 tonnes,33.94,67.71,3,3,4,4,4,5,3,3,3,4
AFG,2,Afghanistan,2655,Wine,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2656,Beer,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2731,Bovine Meat,5142,Food,1000 tonnes,33.94,67.71,43,46,47,48,49,68,65,71,75,62
AFG,2,Afghanistan,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,33.94,67.71,73,72,76,80,84,90,100,111,106,106
AFG,2,Afghanistan,2734,Poultry Meat,5142,Food,1000 tonnes,33.94,67.71,6,6,6,6,7,7,8,8,10,10
AFG,2,Afghanistan,2735,"Meat, Other",5142,Food,1000 tonnes,33.94,67.71,8,8,10,10,10,10,11,11,11,11
AFG,2,Afghanistan,2736,"Offals, Edible",5142,Food,1000 tonnes,33.94,67.71,26,27,28,29,30,36,37,41,41,41
AFG,2,Afghanistan,2740,"Butter, Ghee",5142,Food,1000 tonnes,33.94,67.71,11,11,12,13,14,14,16,16,16,14
AFG,2,Afghanistan,2743,Cream,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,33.94,67.71,8,8,9,9,10,11,11,13,12,13
AFG,2,Afghanistan,2744,Eggs,5142,Food,1000 tonnes,33.94,67.71,8,9,10,10,11,11,13,12,13,11
AFG,2,Afghanistan,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,33.94,67.71,28,28,32,32,36,40,44,47,47,40
AFG,2,Afghanistan,2848,Milk - Excluding Butter,5142,Food,1000 tonnes,33.94,67.71,531,535,597,611,670,695,752,787,795,690
AFG,2,Afghanistan,2761,Freshwater Fish,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2680,Infant food,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,33.94,67.71,286,286,290,292,292,291,306,304,309,274
AFG,2,Afghanistan,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,33.94,67.71,2767,2744,2514,2843,2894,2675,2986,2979,3102,2674
AFG,2,Afghanistan,2907,Starchy Roots,5142,Food,1000 tonnes,33.94,67.71,111,97,103,110,113,117,128,130,134,125
